Google ID,SharePoint Path
1cZvIIik7rToaKa129WrVWUCbgw0peDmN,/sites/Etabeta-ERP/Shared Documents/Deals/Kakoo-Software - D6450
1HbMye_yw6f2Pe9GgKDb5bTQlKGLeNoES,/sites/Etabeta-ERP/Shared Documents/Deals/1HbMye_y_Kakoo-Software - D6450
1pIE7dkFJyngc1nwQx1_PObSyc0xBc6jl,/sites/Etabeta-ERP/Shared Documents/Deals/1pIE7dkF_Kakoo-Software - D6450
19wQOJFsIiEoaeAHS24GZX1KEmvzsiKrl,/sites/Etabeta-ERP/Shared Documents/Deals/19wQOJFs_Kakoo-Software - D6450
10Ywaw70_HtwBjI6pZG0OjjYujCrp_wWi,/sites/Etabeta-ERP/Shared Documents/Deals/Getooops - D6522
1VhVH_Cf7Ok4B31thxndZFdfnPxRq9H1C,/sites/Etabeta-ERP/Shared Documents/Deals/1VhVH_Cf_Kakoo-Software - D6450
1C0YSSg40OydjSz9T43r5S5oOJO464lsv,/sites/Etabeta-ERP/Shared Documents/Deals/Airgrit - D6401
1Tqlbb5kLGhQCqHNCmYWXI48x1azudnFU,/sites/Etabeta-ERP/Shared Documents/Deals/Carne Genuina - D6389
1UwIMKjkX8_TqL21VQYKRvpaPwk-w_f8B,/sites/Etabeta-ERP/Shared Documents/Deals/Rubedo Life Science - D6372
1wc1kYXiGfMibcdSDCSiZxYRSRjpITy1e,/sites/Etabeta-ERP/Shared Documents/Deals/Baze - D6374
19zEZT1Qu_MJF1UljPShsYLU08x_xJCMV,/sites/Etabeta-ERP/Shared Documents/Deals/Lovys - D6371
10UGmWHWuhViNGjPJ1gvqFgy28lgvr-SB,/sites/Etabeta-ERP/Shared Documents/Deals/ROBOTIC PERCEPTION - D6344
17mdWLpNRnMNW3-oSA2blkfgYGrmToXXY,/sites/Etabeta-ERP/Shared Documents/Deals/Tasty Urban
1H7bhUrsqhKF2zBFD6TAHrtgT_eblAPr1,/sites/Etabeta-ERP/Shared Documents/Deals/D6336
1WWhGmAwm3ATfd5jxrzYCQCjijYAGFsaJ,/sites/Etabeta-ERP/Shared Documents/Deals/x-nano - D6370
